"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2022","22.67","22.13","23.15","22.05","155.18M","2.43%"
"05/18/2022","22.13","22.29","22.47","21.97","51.73M","-1.07%"
"05/17/2022","22.37","22.79","22.81","22.37","47.95M","-0.53%"
"05/16/2022","22.49","22.91","23.27","22.49","53.30M","-1.57%"
"05/13/2022","22.85","22.81","23.11","22.67","50.18M","1.41%"
"05/12/2022","22.53","23.42","23.60","22.47","89.89M","-5.11%"
"05/11/2022","23.74","24.24","24.32","23.62","85.13M","-1.32%"
"05/10/2022","24.06","23.82","24.24","23.60","80.95M","1.85%"
"05/09/2022","23.62","23.96","24.14","23.58","46.06M","-1.49%"
"05/06/2022","23.98","24.44","24.44","23.82","51.95M","-2.27%"
"05/05/2022","24.54","24.82","24.86","24.44","53.62M","0.65%"
"04/29/2022","24.38","24.90","24.92","24.04","52.27M","-1.05%"
"04/28/2022","24.64","25.26","25.47","24.54","50.90M","-1.51%"
"04/27/2022","25.02","25.22","25.37","24.60","65.97M","-1.80%"
"04/26/2022","25.47","27.13","27.25","25.18","58.44M","-5.19%"
"04/25/2022","26.87","26.53","27.17","26.01","67.81M","0.00%"
"04/22/2022","26.87","28.20","28.66","26.81","113.87M","-5.33%"
"04/21/2022","28.38","27.78","28.40","27.78","93.00M","2.37%"
"04/20/2022","27.72","27.74","28.04","27.46","57.15M","0.51%"
"04/19/2022","27.58","28.46","28.54","27.39","76.10M","-1.56%"
"04/18/2022","28.02","27.48","28.28","27.31","94.57M","2.25%"
"04/15/2022","27.40","27.70","27.74","27.39","31.66M","-1.01%"
"04/14/2022","27.68","28.02","28.10","27.64","41.26M","-0.14%"
"04/13/2022","27.72","27.90","28.52","27.29","105.28M","0.22%"
"04/12/2022","27.66","27.76","28.14","27.31","78.44M","-0.64%"
"04/11/2022","27.84","27.78","28.50","27.52","105.82M","0.29%"
"04/08/2022","27.76","26.63","28.08","26.33","155.38M","6.90%"
"04/07/2022","25.97","26.27","26.51","25.75","74.07M","2.19%"
"04/06/2022","25.41","26.03","26.15","25.41","73.95M","-1.84%"
"04/05/2022","25.89","25.51","26.11","25.36","151.63M","2.68%"
"04/04/2022","25.22","24.98","25.36","24.98","101.04M","2.26%"
"04/01/2022","24.66","24.12","24.74","24.00","66.39M","2.65%"
"03/31/2022","24.02","24.38","24.50","23.88","45.88M","-0.98%"
"03/30/2022","24.26","24.00","24.58","24.00","77.51M","1.92%"
